datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2025-04-15 07:30:00,NIFTY,NSE,,,,,22828.55,22828.55,22828.55,22828.55,,,0
2025-04-15 08:00:00,NIFTY,NSE,,,,,22828.55,22828.55,22828.55,22828.55,,,1
2025-04-15 08:30:00,NIFTY,NSE,,,,,22828.55,22828.55,22828.55,22828.55,,,2
2025-04-15 09:00:00,NIFTY,NSE,,,,,22828.55,23639.25,22828.55,23633.1,,,3
2025-04-15 09:30:00,NIFTY,NSE,,,,,23634.05,23675.2,23211.4,23300.7,,,4
2025-04-15 10:00:00,NIFTY,NSE,,,,,23302.25,23330.65,23264.65,23315.1,,,5
2025-04-15 10:30:00,NIFTY,NSE,,,,,23316.1,23322.95,23298.2,23312.6,,,6
2025-04-15 11:00:00,NIFTY,NSE,,,,,23312.45,23315.1,23300.45,23312.05,,,7
2025-04-15 11:30:00,NIFTY,NSE,,,,,23312.2,23316.35,23292.2,23309.9,,,8
2025-04-15 12:00:00,NIFTY,NSE,,,,,23309.45,23316.15,23291.65,23314.0,,,9
2025-04-15 12:30:00,NIFTY,NSE,,,,,23313.4,23341.5,23311.25,23337.75,,,10
2025-04-15 13:00:00,NIFTY,NSE,,,,,23338.05,23350.35,23334.2,23338.7,,,11
2025-04-15 13:30:00,NIFTY,NSE,,,,,23339.0,23350.65,23325.85,23335.55,,,12
2025-04-15 14:00:00,NIFTY,NSE,,,,,23335.0,23337.9,23322.15,23326.7,,,13
2025-04-15 14:30:00,NIFTY,NSE,,,,,23326.45,23334.9,23313.45,23313.8,,,14
2025-04-15 15:00:00,NIFTY,NSE,,,,,23314.0,23328.05,23308.35,23308.9,,,15
2025-04-15 15:30:00,NIFTY,NSE,,,,,23309.6,23357.1,23308.5,23344.5,,,16
2025-04-15 16:00:00,NIFTY,NSE,,,,,23344.5,23344.5,23328.55,23328.55,,,17
2025-04-16 07:30:00,NIFTY,NSE,,,,,23328.55,23328.55,23328.55,23328.55,,,18
2025-04-16 08:00:00,NIFTY,NSE,,,,,23328.55,23328.55,23328.55,23328.55,,,19
2025-04-16 08:30:00,NIFTY,NSE,,,,,23328.55,23328.55,23328.55,23328.55,,,20
2025-04-16 09:00:00,NIFTY,NSE,,,,,23328.55,23770.2,23328.55,23569.8,,,21
2025-04-16 09:30:00,NIFTY,NSE,,,,,23567.35,23567.35,23277.9,23334.4,,,22
2025-04-16 10:00:00,NIFTY,NSE,,,,,23333.75,23372.5,23326.65,23357.55,,,23
2025-04-16 10:30:00,NIFTY,NSE,,,,,23357.2,23370.35,23289.05,23300.7,,,24
2025-04-16 11:00:00,NIFTY,NSE,,,,,23302.65,23314.6,23280.75,23286.55,,,25
2025-04-16 11:30:00,NIFTY,NSE,,,,,23286.75,23336.35,23274.0,23326.75,,,26
2025-04-16 12:00:00,NIFTY,NSE,,,,,23325.1,23341.35,23316.0,23329.7,,,27
2025-04-16 12:30:00,NIFTY,NSE,,,,,23331.15,23356.0,23328.05,23346.5,,,28
2025-04-16 13:00:00,NIFTY,NSE,,,,,23348.35,23362.05,23340.65,23343.4,,,29
2025-04-16 13:30:00,NIFTY,NSE,,,,,23345.0,23358.45,23291.55,23295.55,,,30
2025-04-16 14:00:00,NIFTY,NSE,,,,,23296.8,23398.5,23286.0,23398.5,,,31
2025-04-16 14:30:00,NIFTY,NSE,,,,,23398.35,23430.5,23391.55,23413.5,,,32
2025-04-16 15:00:00,NIFTY,NSE,,,,,23412.6,23435.1,23395.7,23430.55,,,33
2025-04-16 15:30:00,NIFTY,NSE,,,,,23429.8,23452.05,23420.85,23433.15,,,34
2025-04-16 16:00:00,NIFTY,NSE,,,,,23433.15,23437.2,23433.15,23437.2,,,35
2025-04-17 07:30:00,NIFTY,NSE,,,,,23437.2,23437.2,23437.2,23437.2,,,36
2025-04-17 08:00:00,NIFTY,NSE,,,,,23437.2,23437.2,23437.2,23437.2,,,37
2025-04-17 08:30:00,NIFTY,NSE,,,,,23437.2,23437.2,23437.2,23437.2,,,38
2025-04-17 09:00:00,NIFTY,NSE,,,,,23437.2,23437.2,23063.15,23344.0,,,39
2025-04-17 09:30:00,NIFTY,NSE,,,,,23343.4,23452.1,23299.15,23304.9,,,40
2025-04-17 10:00:00,NIFTY,NSE,,,,,23307.8,23434.55,23306.0,23412.75,,,41
2025-04-17 10:30:00,NIFTY,NSE,,,,,23413.8,23417.35,23341.05,23396.45,,,42
2025-04-17 11:00:00,NIFTY,NSE,,,,,23397.2,23444.85,23392.15,23412.4,,,43
2025-04-17 11:30:00,NIFTY,NSE,,,,,23411.95,23520.5,23369.15,23519.65,,,44
2025-04-17 12:00:00,NIFTY,NSE,,,,,23520.0,23634.35,23515.85,23601.95,,,45
2025-04-17 12:30:00,NIFTY,NSE,,,,,23601.8,23682.35,23576.3,23678.45,,,46
2025-04-17 13:00:00,NIFTY,NSE,,,,,23678.05,23746.85,23672.35,23745.05,,,47
2025-04-17 13:30:00,NIFTY,NSE,,,,,23743.6,23797.4,23723.95,23773.15,,,48
2025-04-17 14:00:00,NIFTY,NSE,,,,,23773.35,23852.5,23773.0,23852.5,,,49
2025-04-17 14:30:00,NIFTY,NSE,,,,,23850.4,23871.25,23783.8,23835.7,,,50
2025-04-17 15:00:00,NIFTY,NSE,,,,,23836.0,23871.3,23835.8,23871.2,,,51
2025-04-17 15:30:00,NIFTY,NSE,,,,,23870.55,23871.25,23831.35,23840.1,,,52
2025-04-17 16:00:00,NIFTY,NSE,,,,,23840.1,23851.65,23840.1,23851.65,,,53
2025-04-21 07:30:00,NIFTY,NSE,,,,,23851.65,23851.65,23851.65,23851.65,,,54
2025-04-21 08:00:00,NIFTY,NSE,,,,,23851.65,23851.65,23851.65,23851.65,,,55
2025-04-21 08:30:00,NIFTY,NSE,,,,,23851.65,23851.65,23851.65,23851.65,,,56
2025-04-21 09:00:00,NIFTY,NSE,,,,,23851.65,23952.4,23516.3,23946.95,,,57
2025-04-21 09:30:00,NIFTY,NSE,,,,,23952.05,24044.9,23903.9,23944.95,,,58
2025-04-21 10:00:00,NIFTY,NSE,,,,,23946.0,24039.3,23931.25,24037.05,,,59
2025-04-21 10:30:00,NIFTY,NSE,,,,,24038.7,24061.2,24009.3,24045.3,,,60
2025-04-21 11:00:00,NIFTY,NSE,,,,,24046.1,24101.8,24040.75,24092.9,,,61
2025-04-21 11:30:00,NIFTY,NSE,,,,,24092.9,24132.7,24086.55,24123.0,,,62
2025-04-21 12:00:00,NIFTY,NSE,,,,,24122.65,24143.6,24099.05,24134.8,,,63
2025-04-21 12:30:00,NIFTY,NSE,,,,,24134.6,24182.1,24125.65,24163.45,,,64
2025-04-21 13:00:00,NIFTY,NSE,,,,,24165.65,24188.45,24163.5,24184.75,,,65
2025-04-21 13:30:00,NIFTY,NSE,,,,,24184.8,24188.5,24146.5,24156.5,,,66
2025-04-21 14:00:00,NIFTY,NSE,,,,,24154.5,24171.6,24106.5,24145.85,,,67
2025-04-21 14:30:00,NIFTY,NSE,,,,,24145.85,24157.35,24133.3,24136.2,,,68
2025-04-21 15:00:00,NIFTY,NSE,,,,,24133.5,24156.0,24120.0,24146.75,,,69
2025-04-21 15:30:00,NIFTY,NSE,,,,,24145.5,24145.6,24109.95,24120.2,,,70
2025-04-21 16:00:00,NIFTY,NSE,,,,,24120.2,24125.55,24120.2,24125.55,,,71
2025-04-22 07:30:00,NIFTY,NSE,,,,,24125.55,24125.55,24125.55,24125.55,,,72
2025-04-22 08:00:00,NIFTY,NSE,,,,,24125.55,24125.55,24125.55,24125.55,,,73
2025-04-22 08:30:00,NIFTY,NSE,,,,,24125.55,24125.55,24125.55,24125.55,,,74
2025-04-22 09:00:00,NIFTY,NSE,,,,,24125.55,24757.5,24125.55,24494.65,,,75
2025-04-22 09:30:00,NIFTY,NSE,,,,,24494.0,24495.55,24073.25,24133.8,,,76
2025-04-22 10:00:00,NIFTY,NSE,,,,,24135.2,24190.3,24134.3,24165.3,,,77
2025-04-22 10:30:00,NIFTY,NSE,,,,,24163.85,24215.1,24163.85,24197.3,,,78
2025-04-22 11:00:00,NIFTY,NSE,,,,,24196.5,24231.7,24193.9,24231.4,,,79
